journalist_explanation,generated_explanation,objective_difference
"Murphy said, ""Only 3 percent of voters 18 to 34 don't believe that climate change is really happening."" It should be noted that Murphy cited a poll that had been paid for by an environmental group. Still, we couldn’t find any poll with genuinely comparable data that clashed with Murphy’s carefully worded assertion. We rate his statement True.","According to a League of Conservation Voters-commissioned poll conducted between July 8 and July 10, 2013, among registered voters 18 to 34 who voted in the 2012 general election, 3 percent said climate change is not really happening. This supports Senator Chris Murphy's claim that only 3 percent of voters 18 to 34 don't believe that climate change is really happening.",0.7378958877252073
"Herring said there’s no public study of Kaput, the product that might soon be available in Texas to attack feral hogs. There’s no public study of that EPA-registered product, we confirmed. But a 2015 study submitted to a science journal would become public if it’s accepted for publication. Also, the effects on feral hogs of warfarin, Kaput’s active ingredient, has been exploredin published studies. We rate this statement Mostly True. MOSTLY TRUE – The statement is accurate but needs clarification or additional information. Click here for more on the six PolitiFact ratings and how we select facts to check. ","The claim that there's not one public study available to the public on using the product Kaput to poison feral hogs is contradicted by evidence showing that a study titled ""Field efficacy of a warfarin bait used to control feral hog populations"" was submitted for publication in 2015 and is currently undergoing peer-review. Additionally, a PowerPoint presentation from Genesis Labs includes slides referring to research results on the same product, indicating multiple studies have been conducted on its efficacy in controlling feral hogs.",0.712007422783436
"Willett, writing for the court majority, said that before 2005, ""the percentage of"" Texas high-school students meeting the coordinating board’s college readiness standards ""stood at 28% in English and 42% in math. Those figures stood at 65% and 66% in 2013."" This statement doesn’t acknowledge readiness metrics such as ACT or SAT scores. But it almost perfectly reflects the state’s tallies of high school graduates in 2004 and 2013 who scored high enough on state English and math tests to be considered college-ready. We rate the claim True. TRUE – The statement is accurate and there’s nothing significant missing. Click here for more on the six PolitiFact ratings and how we select facts to check.","The evidence provided from the Texas Education Agency shows that in 2004, 29 percent of students met readiness standards for English language arts and 43 percent did so for math. In 2013, these figures stood at 65 percent for English and 66 percent for math. These numbers match the figures cited by Justice Don Willett in the 2016 Texas Supreme Court ruling, indicating that the claim is supported by official data from the relevant agency.",0.6380013961058397
"Scott said, ""Estimates say individuals who escaped these high-tax states have taken with them around $2 trillion in adjusted gross income."" That stat comes from an anti-tax advocate who measured the adjusted gross income of people who moved between states. There is disagreement about how much can be assumed by measuring that income migration, and even whether the $2 trillion in movement is among all 50 states or just from high-tax locations to lower-tax ones. In either case, there is plenty of research showing thatof the relatively small number of people who move between states, very few of them cite taxes as a reason. We rate the statement Mostly False. CORRECTION, Jan. 9, 2015: This article has been updated to clarify the affiliation of Lyman Stone. Help fund PolitiFact's Kickstarter to live fact-check the 2015 State of the Union and GOP response.","The evidence provided supports the claim that estimates suggest individuals who escaped high-tax states have taken with them around $2 trillion in adjusted gross income. This estimate comes from Travis H. Brown's book ""How Money Walks,"" which combines Internal Revenue Service and Census data of adjusted gross income between states over a 15-year period.",0.663277572862218
"Buckley and the Democratic Party are right on with their claim about the 2010-11 budget. That year, lawmakers closed the spending plan with an $18 million surplus. And, though the numbers change constantly, Buckley, the Democratic chairman, is on target regarding the 2012-13 spending plan, as well. Or he was at the time, anyway. Recent reports show the projections have changed, as they will continue to do throughout the rest of the fiscal year, But those numbers, released this week, were not available yet March 29 when Buckley tweeted his claim. Instead, Buckley deferred to a March 12 report, which showed the $40 million deficit. Comparing final state budget figures to a point-in-time snapshot is not exactly an apples-to-apples comparison, since this budget will likely end with a different deficit than Buckley claims. But, at the time of his tweet, Buckley’s numbers were right on the money. We rate his claim Mostly True.","The evidence provided, specifically the PolitiFact check and the state's annual report for 2010-11, confirms that the 2010-11 New Hampshire budget did end with a surplus of $17.7 million, which closely matches the Democratic Party's claim of an $18 million surplus.",0.5655027392117873
"Robinson stated that when the Confederate flag was first flown over South Carolina’s statehouse in 1961, and it was hoisted as a symbol of ""massive resistance to racial desegregation."" Robinson is right on the date. The flag first flew over the statehouse to mark the opening ceremonies of a Civil War Centennial celebration. Whether it was raised as a deliberate symbol of a ""resistance to racial desegregation"" is not completely clear. Experts and research find a circumstantial link between the spread of the flag and the racial divisions of the 1950s and 1960s. We rate Robinson’s claim Mostly True.","Eugene Robinson states that the Confederate battle flag was flown as a symbol of massive resistance to racial desegregation in 1961, while Daniel Hollis recalls that it was hoisted on April 11, 1961, for the opening of the Civil War centennial at the request of Rep. John A. May. K. Michael Prince suggests that the larger context should be considered, pointing out a dispute between New Jersey and South Carolina over segregation at a hotel in Charleston as a possible factor contributing to the raising of the flag. There is conflicting evidence regarding the reasons for flying the flag.",0.5890457883113769
"West said black people kill more blacks in six months than the KKK did in 86 years. Based on the evidence West provided, the claim essentially boils down to a comparison between the number of black-on-black homicides and the number of lynchings from 1882-1968. Using 2012 FBI data and information from the Tuskegee Institute -- neither of which is perfect -- West is somewhat off in his numbers. There were approximately 2,936 black-on-black homicides in six months of 2012 and 3,446 black lynchings from 1882-1896. But West also is wrong to ascribe the historical killing of blacks to the Ku Klux Klan, experts told us. There is no clear tally of Klan murders. We rate the claim Half True.","While the evidence suggests that Allen West's claim may be close to being correct if assuming his six-month timeframe was actually referring to yearly data (since 2,936 black homicides in all of 2012 is roughly comparable to 5,874 black homicides), there are multiple errors in the claim. The KKK is not directly responsible for the majority of lynching deaths between 1882 and 1968 as West implies; rather, it was a broader group of Southern society that carried out these actions.",0.6224279667880084
"Berger said Republicans in North Carolina promised to raise teacher pay ""by more than 15 percent in just three years,"" and ""that is exactly what House and Senate Republicans have accomplished in our state."" The average teacher's salary in the last three years has risen 10.8 percent. And over the entire time Republicans have been in charge of the state budget,the total raise has been even smaller than that, since teacher pay fell during the first three years of GOP control. Berger’s office pointed to numbers for just the state’s portion of teachers’ salaries. But there are some issues with the accounting there, and that’s also not what Berger actually talking about. Pay has been rising for North Carolina teachers recently, but not by nearly as much as Berger claims. We rate this claim Mostly False. Correction:Teachers have received a 10.8 percent raise over the last three years, not over the last four years as a previous version of this article said. There also has been a 4.2 percent increase in the last two years. This does not change our ruling.","The evidence shows that Republican legislators in North Carolina raised the average teacher's pay by 10.8 percent in six years, not more than 15 percent in three years as claimed by Sen. Phil Berger. Additionally, even if using a document from the state legislature to calculate the raises since 2014-2015, it only shows a 15.5 percent increase when counting the state's portion of teachers' salaries, but this number is inflated due to the loss of annual longevity bonuses and does not account for local supplements that make up about one-third of total teacher pay.",0.7710075631199113
"A public service announcement says more than 1,300 people will die on Georgia roads before the end of the year. By Monday of this week, the number was 1,345, according to a tally kept by the Georgia Department of Transportation and released by the Governor’s Office of Highway Safety. The PSA also makes the claim that one in four of those people died in alcohol-impaired fatalities. The truth is that state officials don’t know for certain what’s happened in these traffic deaths. It takes time to investigate. They’re basing the claim on a trend they’ve seen and one that doesn’t seem to be changing in Georgia or the nation. That’s probably context the reader deserves to know. We rate the statement Mostly True.","While the evidence shows that more than 1,300 people have died on Georgia roads as of Monday of this week (2015), and state officials do not know with absolute certainty whether 25 percent of fatalities were caused by drunken driving, there are indicators suggesting a consistent percentage of alcohol-related factors in traffic deaths over a 10-year period.",0.6605807331609137
"Pelosi said that reauthorizing the Children’s Health Insurance Program ""for six years saves $1 billion"" and that doing it for 10 years saves $6 billion. CBO analyses back up Pelosi’s numbers. Because the reauthorization of CHIP would essentially take the place of more expensive programs, doing so would eventually net savings for the government. We rate her statement True.","The Congressional Budget Office (CBO) analysis provided as evidence supports Pelosi's claim that reauthorizing CHIP for 6 years saves $1 billion and doing it for 10 years saves $6 billion. According to the CBO, a 6-year reauthorization would result in cumulative savings of $981 million ($1 billion), and a 10-year reauthorization would decrease the deficit by $6 billion over the 2018-2027 period.",0.560581916205737
"Brat says Spanberger ""wants a tax increase of $32 trillion - that’s with a `T,’to pay for her socialist health care plan."" The charge - central to Brat’s campaign - stems from Spanberger’s May 2018 comment that she does ""in principle, support"" a single-payer health system. Brat offers that statement as proof that Spanberger backs a very generous single-payer proposal proposed by Sen. Sanders of Vermont in which all health insurance would come the federal government. Spanberger has caused some confusion because she’s never explained her remark. It is possible, however, to be receptive to a single-payer program that’s cheaper and more limitedthan Sanders’ plan. Brat offers no evidence that Spanberger has endorsed Sanders’ plan, and she says she opposes it. On the other hand, Spanberger has repeatedly backed a Medicare X proposal that would allow the government to compete with private insurers. Unlike Sanders’ plan, people would retain choices on where to buy coverage. Brat conveniently has chosen a position for Spanbergerthat she never took. We rate his statement False.","Abigail Spanberger's statement ""I do, in principle, support single payer…"" can be interpreted as suggesting she supports the idea of a single-payer system, but it does not explicitly state that she endorses Senator Bernie Sanders' specific proposal. The estimate of $32.6 trillion comes from a study on Sanders' plan, not Spanberger's own proposal. Additionally, Spanberger has repeatedly denied Brat's claim and stated she is against Sanders' bill, indicating some level of distinction between her views and those of the senator.",0.6189732688314775
"A meme circulating on social media said the percentage of black children born without a father in the home has risen from 7 percent in 1964 to 73 percent today, due to changes from President Lyndon Johnson’s Great Society. There’s no federal data to back up the meme’s specific claim, but the most applicable statistics show an increase in black fatherlessness that is more limited, and the rise might have been even more modest still if the early-1960s data had been more reliable. In addition, the focus on Johnson and the Great Society is likely a red herring, since broader, societal factors are believed to have played a major role in rising rates of single-parenthood -- not just among blacks, but also among whites. The exaggerated statistics, combined with an ignorance of important context, leads us to rate the claim False.","The evidence provides conflicting information regarding the claim. On one hand, it is true that the percentage of unmarried black births as a percentage of all black births increased from 24.6% in 1964 to 72% in 2012. However, this is lower than the claimed 7% to 73% increase. Additionally, using alternative data on the percentage of black children living without a father in the home shows an increase from 20% in 1960 to 50% in 2013, but not as drastic as claimed. Experts also question the reliability of early data and suggest that other factors may have contributed to the increases.",0.542326154622687
"The Texas party said Davis has already taken more money from ""teacher unions,"" meaning three teacher groups, than the previous three Democratic gubernatorial candidates combined and presented a chart purporting to show that. The tweet and chart turned out to mislead. Most of the cited teacher groups’ giving to Davis came during her campaigns for state Senate, not during her run for governor. Running for governor, Davis has attracted about $36,000 from two of the groups and nothing from the third. That total trails the $65,000 combined raised by two of the previous nominees in their respective gubernatorial bids. Regardless, the claim has an element of truth. With career fund-raising factored in, Davis has topped the three previous Democratic gubernatorial nominees in support from the groups. Moreover, the party didn't mention a 2014 donation of $125,000 to Davis's campaign from a major teacher group. We rate this claim as Mostly False. MOSTLY FALSE – The statement contains an element of truth but ignores critical facts that would give a different impression. Click here for more on the six PolitiFact ratings and how we select facts to check.","The evidence provides contradictory information about Wendy Davis's contributions from teacher unions. On one hand, a bar chart tweeted by @WendyDavisTruth (a Twitter account run by the Republican Party of Texas) shows that Davis has received more money from teacher unions than the past 3 Democrat gubernatorial candidates combined, with a total of $102,777 compared to their combined total of $102,700. However, further examination of campaign-finance reports reveals that this figure includes contributions made during Davis's Senate campaigns, as well as contributions made after she declared her candidacy for governor but before the primary election. When considering only contributions specifically made for the gubernatorial campaign, Davis's total is lower ($67,000) and comparable to those received by previous candidates (Sanchez in 2002 and White in 2010). Additionally, a sizable contribution of $125,000 from the American Federation of Teachers Committee on Political Education was not included in the party's initial critique. This conflicting information makes it difficult to determine whether the original claim is true or false.",0.6595334431142298
"Wentworth says Campbell is pushing a 35 percent sales tax extending to medicine, groceries and real estate. She’s not, though we can see the threads behind this misleading claim.While running for Congress in 2010, Campbell spoke out in favor of a possible 23 percent federal sales tax in return for wiping out federal income taxes. In the same spirit, she now supports replacing property tax revenue collected across Texas with income from the state sales tax. By itself, that move could drive the state sales tax rate to 14 percent or so. Then again, the conditions her campaign lays out could be taken as signals she’s not ready to embrace any sudden surge or broadening of the tax.Campbell’s two stances, taken years apart in campaigns for different offices, reflect on sales taxes at different levels of government.This claim distorts both positions by effectively combining the possible tax rates. All told, too, it’s ridiculous to assert that Campbell, who has signed no-new-tax pledges, is pushing or calling for an expanded sales tax set at 35 percent.Pants on Fire!","The claim that Donna Campbell is pushing a 35 percent sales tax extending to medicine, groceries, and real estate seems partially true in the sense that she advocated for a 23 percent federal sales tax on consumer goods and services when running for the U.S. House in 2010, as well as supporting moving away from property taxes in favor of end-user consumption taxes. However, there is evidence suggesting she does not support the specific claim as presented by her opponent, Senator Jeff Wentworth, who implies that Campbell wants to more than quintuple the state sales tax rate and start applying the tax to some essential items exempted from the sales tax.",0.6787311216704865
"Rubio cherry-picks the highest number he can find -- $800 billion in new taxes -- to garner opposition to the recently upheld health care law. He doesn’t tell readers anything more about the figure, including the fact that these ""taxes"" would be garnered over 10 years.His statement also indicates that rich and poor people will feel the effects of the law’s various revenue-raising provisions with the same degree of pain. But that’s not true. The law taxes wealthier Americans to a greater degree to provide more services for the poor.We rate this False.","The evidence presents conflicting information about the claim. Senator Rubio states that the health care law adds around $800 billion of taxes on the American people, citing a 2011 report by the nonpartisan Congressional Research Office and Joint Committee on Taxation. However, an expert at the Center for Studying Health System Change estimates that the tax increase over 10 years is about $20 billion when accounting for refundable tax credits and subsidies for health insurance. Meanwhile, Democrats claim that the law provides $828 billion in ""tax cuts"" over 10 years through various tax breaks and credits. This discrepancy makes it impossible to determine a clear label of True or False.",0.48221226802436257
"Crist said that in 2012, ""the secretary of state put together a list of over 100,000 people that they thought were ineligible to vote. Came out there were less than 10."" If Crist’s point was that only a tiny fraction of noncitizens were found on the voter rolls, that’s certainly true. But he’s wrong that the number was less than 10. The best data we could nail down from the state was that there were about 85 noncitizens removed as of August 1, 2012. We rate his claim Mostly False.","According to the evidence, while Crist initially claimed that there were less than 10 noncitizens removed from the voter rolls in 2012, he later admitted that his figure was incorrect and estimated it could be around 40 or so. Additionally, PolitiFact Florida's investigation found a total of at least 85 noncitizen voters removed as of August 1, 2012, with some county supervisors confirming even higher numbers.",0.6520846857807853
"Muder said that in 2011 Sen. Paul proposed cutting the CDC budget by $1.165 billion. Budget documents confirm that. In fact, Paul’s most detailed budget that year would have trimmed CDC spending by slightly more, about $1.2 billion. While the Senate approved two broad spending measures to fund the CDC in 2014, Paul voted against both. We rate the claim True.","The evidence provided shows that Sen. Rand Paul's 2011 budget actually proposed a 20% cut in the CDC's budget from its Fiscal Year 2008 levels, which amounts to either $1.209 billion or $1.275 billion in cuts. This is slightly more than initially described by liberal blogger Doug Muder as a ""big cut.""",0.5923469066619873
"Scarborough said Americans have ""have wandered away"" from the issue of climate change since 2004. They certainly did, as polls consistently show dips through 2010. However, support has inched back in recent years. While the recent gains remain below the 2004 levels, theoverall drop isn't as dramatic as Scarborough makes it sound. We rate this claim Half True.","While Joe Scarborough states that Americans ""bought into"" the concept of climate change and needed to move aggressively on it from 2004-06, the evidence shows mixed results in terms of public opinion on climate change. The Gallup and Pew polls indicate that while there has been a slight decline in public buy-in since 2004, the concern about climate change has fluctuated over time, with periods of increase and decrease. Therefore, it cannot be determined for certain whether Scarborough's statement is true or false based on the evidence provided.",0.4348151206970215
"Warner said the Social Security Administration’s Inspector General found ""there are 6.5 million people who have active Social Security numbers who are 112 years of age or older."" The audit Warner cites indeed found that there are an implausible 6.5 million active Social Security numbers belonging to people who would be at least 112. We rate Warner’s claim True.","According to the evidence provided by the Social Security Administration's Office of the Inspector General report and Patrick O'Carroll Jr.'s testimony, there are indeed 6.5 million people with active Social Security numbers who are 112 years of age or older. This number is based on an audit conducted by the auditors after they found that a bank reported that a man had opened accounts using the Social Security numbers of two different people, one born in 1886 and the other in 1893, which led them to investigate individuals aged 112 or older.",0.7713865884867581
"McDonnell said that if his proposed $56 car registration fee is approved, Virginia’s annual registration costs would still be ""equal to or lower than"" most states. The governor’s office, when asked, offers no proof to this claim.Information from AAA and the National Conference of State Legislatures shows the governor is wrong. Under McDonnell’s plan, Virginia’s registration would be higher than 28 states and lower than seven. The 14 other states have variables in their formulas for computing car registration fees that could result in charges that are higher or lower than the $56 McDonnell has proposed.The bottom line is that Virginia would have a higher car registration fee than most states. McDonnell’s claim has no basis and we give it our lowest rating, Pants of Fire.","The evidence provided shows that 28 states have registration fees lower than Virginia's proposed new fee of $56, and only seven states would have higher registration fees. Therefore, the claim that Virginia's registration fee, even at an average of $56, ""still puts us at a rate equal to or lower than most states"" is not supported by the evidence.",0.7404903036460542
"A Freedom Partners Action Fund ad claims that Cortez Masto ""went after Uber ... until she drove them out of town"" after receiving tens of thousands of dollars in donations from taxi companies. Freedom Partners got a couple of the details right in the amount of taxi industry donations and Cortez Masto’s aggressive legal actions against Uber. But there’s a convincing argument that Uber at the very least bent the rules, and it’s clear that Cortez Masto didn’t have some sort of individual vendetta against the ride-hailing company — her office was working with state regulators who specifically requested the attorney general take action. The ad also neglects to mention how Uber only temporarily left town. The ridesharing service is very much up and running through Nevada a year after its initial skirmish with the state. Because this ad takes things out of context, we rate it Mostly False. Editor's note: This story was updated shortly after publication to clarify how the state Attorney General's office responded to Uber's launch on Friday, Oct. 24, 2014.","The evidence suggests that Catherine Cortez Masto's office was trying to enforce existing regulations on Uber, which was operating without authority and illegally at the time. The Attorney General's office filed suit to shut down Uber, but it was not a straightforward case, with multiple jurisdictional issues and a complex regulatory structure in Nevada. Former officials from the Attorney General's office and the Transportation Authority described the situation as a legitimate attempt to enforce state law, rather than an ""overaggressive legal fight"" as claimed by Freedom Partners.",0.611268809516873
"Of the eight historians we checked with, all were at least skeptical that what Trump said actually happened, and some expressed disbelief even more forcefully than that. The only evidence of something approximating what Trump said stems from one letter documenting a different scenario written by a veteran more than a half century after the fact. Perhaps more important, the historians took issue with Trump’s suggestion that the tactic -- if it was even used at all -- actually worked to end tensions, noting that unrest persisted for years. In all, Trump’s claim is ridiculous, so we rate it Pants on Fire. UPDATE, Feb. 29, 2016: After we published this story, a reader pointed us to a memoir by Pershing titled My Life Before the World War, 1860-1917, which was republished in 2013 by the University Press of Kentucky. In the memoir, Pershing writes that another commanding officer in the Philippines, Col. Frank West, had in at least one case seen to it that bodies of Muslim insurgents ""were publicly buried in the same grave with a dead pig. It was not pleasant to have to take such measures, but the prospect of going to hell instead of heaven sometimes deterred the would-be assassins."" In a footnote, the editor of the 2013 edition, John T. Greenwood, cited a letter about the incident from Maj. Gen. J. Franklin Bell, the commander of the Philippines Division, to Pershing: ""Of course there is nothing to be done, but I understand it has long been a custom to bury (insurgents) with pigs when they kill Americans. I think this a good plan, for if anything will discourage the (insurgents) it is the prospect of going to hell instead of to heaven. You can rely on me to stand by you in maintaining this custom. It is the only possible thing we can do to discourage crazy fanatics."" While these writings do provide strong evidence that United States forces used pigs as a tactic against Muslim insurgents, they do not support the claim Trump made. There is no evidence that Pershing himself committed these acts, there is nothing said about the use of 50 bullets dipped in pig’s blood, and most important, there is no evidence to support Trump’s claim that this tactic was effective in stopping violence -- or that it would provide a useful policy today. When we ran this additional information by three of the historians we checked with for our original story -- Silbey, Linn and Janda -- they told us they agreed with our conclusion. Our rating remains Pants on Fire.","The evidence suggests that General John Pershing's story about dipping bullets in pigs' blood and using them to pacify Muslim rebels may be an apocryphal legend, but it is based on a letter written by a soldier who served under Pershing. However, historians agree that the evidence for this specific story is thin, and some question its accuracy or reliability. The story's authenticity cannot be confirmed with certainty, and its historical context and significance are also disputed among experts.",0.530780529669353
"Youngkin said, ""Over the last few years, more Virginians are moving away from Virginia than are moving to Virginia from the other 49 states."" IRS data backs him up. But Youngkin wraps the data in a questionable political context. He blames the last two Democratic governors for the net migration loss when research shows most of the drop has been caused by problems largely beyond any governor's control: federal budget cuts and high prices for buying a home in Northern Virginia. Youngkin’s statement is accurate but needs clarification. So, we rate it Mostly True.","The evidence provided from the Internal Revenue Service's annual statistics on households moving and filing federal tax returns shows that from 2013 to 2018, Virginia had a net loss of households each year, with an average annual loss of 5,600 families in the first five years after the change. Additionally, the U.S. Census Bureau estimated that Virginia lost a net 11,994 people through domestic migration during the 12-month period ending July 1, 2019.",0.5279644215901693
"Booker said, ""We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders."" Booker is right that a new prison was built every 10 days during that period. But while there was a significant rise in the incarceration rate of nonviolent offenders, it took place over a longer time period than the post indicates -- between 1980 and 2013. On balance, we rate his claim Mostly True.","The claim that ""We built a new prison every 10 days between 1990 and 2005"" is partially true based on the evidence. According to the Congressional Research Service report, there was an average increase of one facility every 10 days during this period if both state and federal prisons are considered. However, regarding the second part of the claim about ""a mass incarceration explosion of nonviolent offenders"", the evidence suggests that while the number of nonviolent offenders did grow significantly, most of this growth occurred before 1990 or in the federal system, not between 1990 and 2005 as Booker stated.",0.6386557932694753
"Clinton said, under Trump's tax plan, ""51 percent of single parents would see their taxes go up."" Trump’s proposal would simplify the federal tax code and provide tax cuts for many. But, analysts say, Trump’s plan would make changes that would affect some people negatively. Trump’s proposal to eliminate the head of household filing status and personal exemptions would raise federal income taxes for many single parents. We rate Clinton’s claim True. ","According to analysis from the Tax Policy Center, a report affiliated with the Urban Institute, 20 percent of households and more than half of single parents would wind up paying more in federal taxes under Donald Trump's tax plan. However, the specific claim that ""51 percent of single parents would see their taxes go up"" is disputed by this evidence. The report actually estimates that around 51 percent (or about 5.8 million households) are likely to see a tax increase, but it focuses on all single-parent households, not just single parents.",0.6792032320348044
"The Facebook post tells the story of a man who says he opted out of Obamacare soon after the marketplace was launched on Oct. 1, 2013, and was informed that he owed a fine of more than $4,000. The post includes many elements that make no sense or are flat-out wrong -- and can be easily debunked by reading the law or reliable summaries of it. We rate it Pants on Fire.","According to evidence provided by the Centers for Medicare and Medicaid Services (CMS), users cannot ""affirmatively 'opt-out' at the end"" of an application, but rather must either close the website or enroll in a plan. Additionally, multiple claims about the fines, such as the method of notification and calculation, are contradicted by the CMS and Treasury Department.",0.35871602990410545
"Grayson's claim about Wal-Mart employees on Medicaid and food stamps has support from several reports, although it's worth noting that some of them come from Democratic or labor-funded groups that are critical of Wal-Mart.Comprehensive figures are not available, but we did find considerable evidence that echoes Grayson’s point about employee dependence on public health assistance in several states. His claim about Walmart employees on food stamps is not as substantiated, but we did not find any substantial evidence that contradicted his point.His claim about the $1,000 cost has the least support because it's based on two studies that are eight years old. Also, the presence of Wal-Mart at the top of the list is not necessarily unexpected given its size and the nature of wages for retailing. On balance, we rate the claim Mostly True.","The evidence provided shows that in nearly all 24 states studied, Walmart employees represent the largest group of Medicaid recipients. Additionally, while there is less conclusive data on food stamp recipients, many studies and reports from various states support Grayson's claim that Walmart employees are among the largest group receiving food stamps.",0.6753644856611888
"Moshein said the University of Texas has a $7 billion endowment and its football program had a $50 million profit last year, indications it can afford to fund a medical school.His endowment tally seems about right and he undershoots football’s 2011-12 profits. However, such funds couldn't be siphoned off for a medical school--year after year at that--without socking existing commitments. We rate this statement as Half True.","The evidence provided shows that while the University of Texas has a significant endowment and generates profits from its football program, it is not free to allocate these funds as Moshein suggests. According to UT officials, including Randy Wallace and Kevin Hegarty, the majority of the endowment funds are committed to specific projects or operating costs, making it impractical for the university to use these funds for a new medical school.",0.6792495269624014
"Clinton said, ""Not one of the 17 GOP candidates has discussed how they'd address the rising cost of college."" While some Republican hopefuls haven’t had much to say on the issue, it’s not accurate to say none of them have. Rubio has made higher education spending a major plank of his campaign, and other candidates like Christie and Fiorina have set forth ideas and positions. Other candidates have at least mentioned the subject at times. We rate Clinton’s statement False.","The evidence shows that multiple GOP candidates, including Marco Rubio, Chris Christie, Carly Fiorina, Rand Paul, Jeb Bush, and Ben Carson, have discussed addressing the rising cost of college as part of their platform. Therefore, it is not true to say that none of the 17 GOP candidates has discussed how they'd address this issue.",0.6787720027616468
"Scott blamed a ""legacy of taxing and borrowing"" for the poor state economy he inherited. But the experts we contacted said that fiscal matters were a small factor, if at all. Real estate, the national recession, and their impacts on such key sectors as construction and tourism were the overwhelming causes. We rate Scott’s claim False. Update: Shortly after we published this fact-check, we received a response from Scott's office. We included it here, but it did not change our rating.","The evidence provided by experts on the Florida economy, including professors and analysts from various financial firms and universities, strongly suggests that problems of taxing and borrowing were not the major causes of the severe recession in Florida. According to the experts, the bursting of the housing bubble and the global financial crisis were far and away the largest factors crippling the Florida economy, with tax revenues falling during the recession but not sufficient to cause a downgrade in the state's credit rating.",0.5017925787575637
"After North Carolina replaced HB2, pro-LGBT activists said the compromise was not nearly enough. Caitlyn Jenner, one of the country’s most famous transgender celebrities, took that criticism a step further when she tweeted: ""The new law orders NC cities to discriminate against LGBT people until at least 2020 and unfair ‘bathroom bans’ remain."" Neither part of that is correct. The bathroom ban was repealed. And while the new law does continue banning cities and counties from giving LGBT people local discrimination protections, that’s not even close to the same as ordering discrimination. Her statement makes two claims. Neither is accurate, and we rate this claim False.","According to the evidence, the new law replacing HB2 removed the provision that banned transgender people from using the bathroom of the gender with which they identify. Additionally, the new law prohibits cities and counties from passing local anti-discrimination ordinances related to employment or public accommodations until at least 2020, but it does not order cities to discriminate against LGBT people.",0.664283149145745
"O’Donnell said that the United States had spent over $500 million to reach less than 1 percent of the Cuban population. The weight of the GAO findings, the assessment from one of the program’s early supporters, and outside experts largely confirm O’Donnell’s numbers. If anything, the government has spent more than O’Donnell said. He might have overstated how small the audience actually is, but independent government reviewers conclude that the audience is small. The new distribution methods of text and email come with some impressive numbers, but there is no verification that a substantial portion of these messages get through. While the quality of the data can be questioned, the numbers that do exist suggest O’Donnell was largely correct. We rate the claim Mostly True. Update: The Cuban telecomm company Etescasaid there are approximately 3.3million cell phone and land lines in Cuba. This story has been updated to reflect that point.","According to multiple reports and studies cited in the evidence, including those from the Government Accountability Office (GAO) and the Broadcasting Board of Governors, it appears that Radio Marti and TV Marti have indeed spent over $500 million with limited market penetration, reaching less than 1 percent of the Cuban population.",0.5907188458389111
"Collins said ""Because of #TaxReform, 4 million American workers have received raises and bonuses, and 90% of Americans are seeing bigger paychecks this month."" The first part of Collins’ claim is correct based on a compilation of companies from a tax cut advocacy group. PolitiFact used the same list when fact-checking Trump on a similar claim. The second part of Collins’ claim is less clear. The Treasury Department predicted 90 percent of workers would have lower federal taxes in February. We don’t know how many had higher take-home pay, Gleckman said. The statement is accurate but needed additional information. We rate it Mostly True. PolitiFact Republican guest columnist and former U.S. Rep. David Jolly said PolitiFact’s fact-checking of this statement ""reveals the challenges confronted by disciplined fact-checkers toconfine themselves only to a politician’s specific comment, and the challenges equally faced byreaders of PolitiFact whose opinions may often be arrived at through a broader analysis ofadditional facts not addressed in a single fact-checking column. Whether Rep. Collins’ assertionrepresents the full policy implications of the new law or whether it intentionally avoids theadditional complexities of its impact, the fact is his statement was accurate."" Read his critique here.Read more about our guest columnistshere.","The evidence supports that at least 4 million American workers have received raises and bonuses due to #TaxReform, which is consistent with President Trump's previous claim that ""3 million workers in the U.S. had already received a pay increase or bonus thanks to the tax bill"". However, it contradicts the second part of Collins' claim that ""90% of Americans are seeing bigger paychecks this month"" as experts suggest that while 90% may receive a tax cut, many may not see higher take-home pay due to factors like higher health insurance premiums.",0.6747699001173335
"The meme says the 1956 Republican Party platform supported equal pay, the minimum wage, asylum for refugees, protections for unions and more. That’s generally correct. However, it’s worth noting that other elements of the 1956 platform were considered conservative for that era. Also, some of the issues have changed considerably between 1956 and 2012, such as the shift from focusing on post-war refugees to focusing on illegal immigration. The claim is accurate but needs clarification or additional information, so we rate it Mostly True.","The evidence shows that the Occupy Democrats meme accurately describes seven elements of the 1956 Republican Party platform, including support for equal pay, asylum for refugees, and labor unions. The article provides quotes from the original 1956 platform document to verify these claims. While there are some nuances in the language used, the overall content of the platform matches the meme's description.",0.5510733266671499
